192.241.213.124 - - [09/Oct/2022:23:39:37 +0000] "GET /portal/redlion HTTP/1.1" 404 122 "-" "Mozilla/5.0 zgrab/0.x"
192.241.214.19 - - [09/Oct/2022:23:56:10 +0000] "GET /actuator/health HTTP/1.1" 404 122 "-" "Mozilla/5.0 zgrab/0.x"
20.12.72.189 - - [10/Oct/2022:00:09:17 +0000] "GET /yealink/y000000000000.cfg HTTP/1.1" 404 150 "-" "-"
20.12.72.189 - - [10/Oct/2022:00:10:02 +0000] "GET /configs/000000000000.cfg HTTP/1.1" 404 150 "-" "-"
45.43.36.191 - - [10/Oct/2022:00:14:01 +0000] "\x16\x03\x01\x00\xAF\x01\x00\x00\xAB\x03\x03&\xF4j\x84\x22\x93\xE8\x8Ey\xD5\xCCn LP\x82\xE1\xBA\xF5[\x8C\xD7x\xB0\xADmEw\xFF\xDA\x8E\xCF\x00\x00\x1A\xC0/\xC0+\xC0\x11\xC0\x07\xC0\x13\xC0\x09\xC0\x14\xC0" 400 154 "-" "-"
45.43.36.191 - - [10/Oct/2022:00:14:12 +0000] "GET / HTTP/1.1" 404 150 "-" "-"
45.43.36.191 - - [10/Oct/2022:00:14:35 +0000] "GET /favicon.ico HTTP/1.1" 404 122 "-" "Go-http-client/1.1"
45.43.36.191 - - [10/Oct/2022:00:14:39 +0000] "GET /robots.txt HTTP/1.1" 404 122 "-" "Go-http-client/1.1"
45.43.36.191 - - [10/Oct/2022:00:14:44 +0000] "GET /sitemap.xml HTTP/1.1" 404 122 "-" "Go-http-client/1.1"
152.89.196.211 - - [10/Oct/2022:00:41:31 +0000] "GET /actuator/gateway/routes HTTP/1.1" 404 183 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
40.122.207.234 - - [10/Oct/2022:00:57:02 +0000] "GET /polycom/000000000000.cfg HTTP/1.1" 404 150 "-" "-"
